Latitude,Longitude
30.641586,76.724027
30.637054,76.725050
30.639389,76.724421
30.641357,76.718623
30.673920,76.713228
30.648666,76.705903
30.645050,76.725382
30.643860,76.725007
30.643692,76.725096
30.644943,76.725419
30.648758,76.706040
30.677109,76.723240
30.637329,76.709713
30.639771,76.724572
30.637375,76.724788
30.642105,76.723780
30.638870,76.724188
30.636444,76.725568
30.647858,76.705106
30.671494,76.709271
30.644272,76.724835
30.645279,76.725328
30.645432,76.725283
30.644440,76.724775
30.670715,76.709841
30.647781,76.704839
30.636322,76.725672
30.638641,76.724198
30.638077,76.724468
30.649017,76.706380
30.665268,76.713687
30.644592,76.724966
30.644867,76.725460
30.644745,76.725490
30.644577,76.724927
30.665924,76.713862
30.658829,76.703324
30.637741,76.724639
30.638260,76.724382
30.637833,76.724587
30.638474,76.724269
30.639832,76.724593
30.670090,76.710340
30.663177,76.710305
30.645859,76.725177
30.644684,76.725267
30.644470,76.724783
30.644531,76.724816
30.644714,76.725390
30.645782,76.725185
30.658905,76.703484
30.669571,76.710813
30.639801,76.724585
30.638443,76.724290
30.637802,76.724597
30.633347,76.725504
30.635422,76.726466
30.635315,76.726560
30.633331,76.725579
30.635574,76.726319
30.633377,76.725326
30.633453,76.725056
30.635864,76.726063
30.635223,76.726647
30.634125,76.725437
30.634125,76.725343
30.635178,76.726694
30.633591,76.724925
30.635086,76.726782
30.635086,76.726782
30.633636,76.724985
30.634888,76.726996
30.631241,76.727352
30.631577,76.727039
30.634842,76.727017
30.630905,76.727659
30.630920,76.727746
30.638000,76.724505
30.640244,76.724625
30.642960,76.724267
30.665146,76.713497
30.647079,76.704416
30.646698,76.724969
30.646439,76.725030
30.647247,76.704033
30.663330,76.710499
30.642883,76.724168
30.640167,76.724648
30.637909,76.724549
30.642838,76.724070
30.639877,76.724613
30.646072,76.725123
30.647247,76.704033
30.644669,76.725232
30.644623,76.725096
30.647247,76.704033
30.646133,76.725107
30.640060,76.724654
30.642853,76.724136
30.642624,76.723639
30.647110,76.724749
30.636963,76.706967
30.642975,76.724321
30.643204,76.724705
30.636810,76.707061
30.646896,76.724919
30.640671,76.724458
30.642471,76.723490
30.677109,76.723240
30.641144,76.724229
30.642609,76.723600
30.635986,76.725959
30.638123,76.706244
30.646973,76.704438
30.646973,76.704438
30.647644,76.724399
30.647247,76.704033
30.636154,76.725819
30.642822,76.724058
30.630921,76.727647
30.630905,76.727693
30.629547,76.727972
30.629486,76.728607
30.629501,76.728661
30.629715,76.729135
30.630157,76.730087
30.632248,76.734747
30.633484,76.737263
30.636231,76.742488
30.636841,76.743527
30.637039,76.743883
30.637238,76.744244
30.637375,76.774449
30.638214,76.745959
30.638824,76.747043
30.640656,76.750238
30.641098,76.751231
30.641266,76.751516
30.641211,76.752123
30.642151,76.753631
30.643082,76.753408
30.644073,76.752405
30.654343,76.741191
30.654434,76.741086
30.654587,76.740884
30.654755,76.740671
30.656021,76.739223
30.658386,76.737531
30.659181,76.736982
30.659409,76.736826
30.661026,76.735675
30.661531,76.735326
30.662628,76.734551
30.667709,76.730747
30.673325,76.726398
30.673492,76.726229
30.674271,76.725545
30.674377,76.725459
30.676819,76.723486
